Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,地球人很可怕,0.031669230426252894,100.0,2608483217
2,中国企业家杂志,0.031113651485842497,98.25,1193725273
3,头条新闻,0.031005466911365787,97.9,1618051664
4,段郎说事,0.030870872261321698,97.48,1807715644
5,南方日报,0.030758950787040672,97.13,1682207150
6,环球时报,0.02546634779078599,80.41,1974576991
7,每日经济新闻,0.02366407546885075,74.72,1649173367
8,保护-人权,0.02333333333333333,73.68,1629236144
9,历史解密网站,0.02284385246463898,72.13,1927686345
10,晓峰_徐,0.022175689479060266,70.02,1974945511
11,信息时报,0.02163699284485801,68.32,1750553234
12,观世音童,0.021520035831833585,67.95,1923210664
13,丁来峰,0.021337365038207733,67.38,1033823051
14,网易新闻客户端,0.02070176078603045,65.37,1974808274
15,时评者,0.018834715534153737,59.47,2617550713
16,高会民,0.018512573568753344,58.46,2710739767
17,财新网,0.018356657387556263,57.96,1663937380
18,方家评说,0.017004191189584447,53.69,1152902673
19,中国经营报,0.016971393930663593,53.59,1650111241
20,孙警官说事,0.01643162393162393,51.89,1793570663
21,JohnRoss431,0.015809496371294123,49.92,2559830984
22,央视新闻,0.01566990593675987,49.48,2656274875
23,神笔记,0.015215355805243445,48.04,1740821092
24,新浪新闻视频,0.01495247418000227,47.21,3921730119
25,张智勇律师,0.01452879985183356,45.88,2114150347
26,摆古论今,0.014339887640449437,45.28,1956025337
27,聚贤德之淋,0.013339352594970572,42.12,2235090235
28,人民日报,0.013117523861905884,41.42,2803301701
29,荣剑2008,0.012910510213881,40.77,5055641515
30,顾海波,0.012429775280898876,39.25,1239491631
31,陈有西,0.012266517814270623,38.73,1803570001
32,假装吹壳子,0.012202380952380952,38.53,3714118545
33,新京报评论,0.012191011235955056,38.49,1604159432
34,微媒,0.012031835205992509,37.99,2866908680
35,kkk888666yyy,0.011970613656006913,37.8,2909786154
36,石小杰微博,0.01125840295784116,35.55,1264138094
37,虎儒之风,0.011235955056179775,35.48,2020017453
38,香港成报,0.01098013643659711,34.67,1730374903
39,广州日报,0.010923168591707917,34.49,1887790981
40,黎津平,0.00998091328147508,31.52,1481638480
41,凤凰南都,0.009924064699345599,31.34,1970643633
42,人民网,0.009801701107880883,30.95,2286908003
43,作家文道,0.009735152487961475,30.74,2161304867
44,蓝鲸财经记者工作平台,0.009513959822948587,30.04,1885454921
45,第一财经日报,0.009107631600609128,28.76,1926909715
46,和讯网,0.008965682413716123,28.31,2000961721
47,新浪财经,0.008848314606741573,27.94,1638782947
48,正和岛标准,0.0082393324528156,26.02,2268916473
49,凤凰视频,0.00816061903140555,25.77,1806128454
50,何兵,0.007858566215307788,24.81,1215031834
51,华尔街日报中文网,0.007779905799568721,24.57,1649159940
52,都市快报,0.007718220449962024,24.37,1847582585
53,思考聚焦,0.007597645799892991,23.99,2690782491
54,扬子晚报,0.007492721074181748,23.66,1653603955
55,传媒老王,0.007419864779415341,23.43,1661598840
56,司马南,0.007256554307116105,22.91,1263406744
57,张晨初艺术空间,0.007256554307116105,22.91,1912150611
58,观察者网,0.007248391433784693,22.89,1887344341
59,财经网,0.006803541340058194,21.48,1642088277
60,袁裕来律师,0.006744917067950776,21.3,1097414213
61,慷慨悲歌v,0.006460674157303371,20.4,2087855933
62,侯宁,0.006460674157303371,20.4,1483330984
63,演员孙海英,0.006062734082397004,19.14,1997641692
64,老林时评,0.006062734082397004,19.14,3170804313
65,王小东,0.005823970037453184,18.39,1403497553
66,梦遗唐朝,0.005285220397579948,16.69,1809098785
67,北京杨博,0.0052668539325842695,16.63,3062287903
68,新财富杂志,0.005037273120138289,15.91,1708922835
69,坚强的孙晓丽,0.004868913857677903,15.37,3577695415
70,微天下,0.004813257903145544,15.2,1893801487
71,看历史,0.004414125200642055,13.94,1299654943
72,这里是美国,0.004409752232785941,13.92,2243807243
73,何光伟,0.004391385767790262,13.87,2093591281
74,李静,0.004073033707865169,12.86,1610536214
75,广州陈扬,0.004042886732493475,12.77,1804033411
76,数据化管理,0.003608770287141074,11.4,1424710994
77,中青报曹林,0.00356139646869984,11.25,1193210930
78,Vista看天下,0.0033434769038701625,10.56,1323527941
79,新京报,0.003237359550561798,10.22,1644114654
80,北京人不知道的北京事儿,0.003163456393793473,9.99,1662214194
81,壹基金,0.002746566791510612,8.67,1659626844
82,微博校园,0.0025833093248823586,8.16,1747104004
83,平顶山两岁小草莓,0.0024812734082397007,7.83,5134016370
84,性感玉米,0.0023675762439807385,7.48,1676582524
85,余丰慧,0.002119509703779367,6.69,1163218074
86,韩饭桶,0.002119509703779367,6.69,2481092927
87,南都广州,0.002052722558340536,6.48,2141760997
88,诗人刀哥,0.002052722558340536,6.48,1433765237
89,余杭发布,0.002052722558340536,6.48,3080997970
