Rank,Weibo User,PageRank Value,Weibo Influence Value,User id
1,大洋彼岸的绅士,0.01835424030160872,100.0,2111717203
2,吕永岩,0.017172533877212237,93.56,1266058190
3,生化超限战,0.016687636924479027,90.92,3276353050
4,崔永元,0.0162394917731175,88.48,1496852380
5,宋鸿兵,0.01588961742320468,86.57,1632067682
6,种田农民_,0.01563124597974319,85.16,1253988497
7,红歌会网,0.01541943769922146,84.01,2566813090
8,朱继东,0.014102834570670825,76.84,2248789552
9,Overbluesky,0.013521556740854984,73.67,1746677274
10,多多dddd,0.0129743877848733,70.69,1853686431
11,头条新闻,0.012937002203818767,70.49,1618051664
12,财经网,0.012379435740975428,67.45,1642088277
13,孔庆东,0.011935099749971229,65.03,1198367585
14,泽丰瑞熙熊总,0.011852527245992792,64.58,2217718480
15,科学公园,0.011812865497076021,64.36,2298297865
16,画家韩墨,0.011798513189556586,64.28,2376330492
17,陈丹青说,0.011730251554812958,63.91,2926375387
18,远离中医药,0.011159233366066237,60.8,3212895264
19,每日经济新闻,0.01012641726677184,55.17,1649173367
20,林岳芳,0.010124081571449992,55.16,1585922627
21,中国广州发布,0.00986191703058968,53.73,2605594314
22,舟子直播间,0.009848231690336951,53.66,3092861042
23,央视新闻,0.009787345833321515,53.32,2656274875
24,台北县令,0.00977669482347845,53.27,2425047701
25,潮阳县令,0.009761440638633621,53.18,3578912684
26,时代迷思,0.009706209969367862,52.88,1406387602
27,财新网,0.009686933092409374,52.78,1663937380
28,财联社,0.009615666260908625,52.39,2868676035
29,陆弃,0.009503829016986912,51.78,1655746665
30,涂建军,0.009409769446322849,51.27,2795377352
31,张兆晋,0.009392578668894456,51.17,1772093701
32,基因农业网,0.009226886661097186,50.27,3512454351
33,古堡剑影,0.009165237702518403,49.94,2496878345
34,湖北热点,0.00894553334904212,48.74,3119709724
35,编剧赵华,0.008931847662841814,48.66,1028410180
36,央视财经,0.008821844228238503,48.06,2258727970
37,作家阿喜,0.00875357196409828,47.69,2461535184
